id,Season,Match,Venue,Winner,Wonby,PlayerOfTheMatch,Team1Players,Team2Players,Team1,Team1Run,Team2,Team2run
598042,2013,46,Subrata Roy Sahara Stadium,Royal Challengers Bangalore,Runs,AB de Villiers,"RV Uthappa,AJ Finch,TL Suman,Yuvraj Singh,SPD Smith,AD Mathews,AM Nayar,B Kumar,BAW Mendis,AB Dinda,R Sharma","SS Tiwary,CH Gayle,V Kohli,AB de Villiers,MC Henriques,KL Rahul,KB Arun Karthik,R Vinay Kumar,M Kartik,M Muralitharan,RP Singh",Royal Challengers Bangalore,187,Pune Warriors,170
598041,2013,45,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Runs,SK Raina,"WP Saha,MEK Hussey,SK Raina,MS Dhoni,JA Morkel,RA Jadeja,S Badrinath,DJ Bravo,CH Morris,R Ashwin,MM Sharma","LA Pomersbach,Mandeep Singh,SE Marsh,DJ Hussey,DA Miller,Gurkeerat Singh,R Sathish,MS Gony,PP Chawla,P Kumar,P Awana",Chennai Super Kings,186,Kings XI Punjab,171
598040,2013,44,Shaheed Veer Narayan Singh International Stadium,Delhi Capitals,Wickets,DA Warner,"DPMD Jayawardene,V Sehwag,UBT Chand,DA Warner,BJ Rohrer,KM Jadhav,IK Pathan,S Nadeem,M Morkel,UT Yadav,A Nehra","MS Bisla,G Gambhir,YK Pathan,JH Kallis,EJG Morgan,DB Das,R Bhatia,S Narwal,B Lee,SP Narine,L Balaji",Kolkata Knight Riders,136,Delhi Daredevils,137
598039,2013,43,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Wickets,I Sharma,"PA Reddy,S Dhawan,KC Sangakkara,GH Vihari,DJG Sammy,NLTC Perera,A Ashish Reddy,KV Sharma,A Mishra,DW Steyn,I Sharma","DR Smith,SR Tendulkar,KD Karthik,RG Sharma,KA Pollard,AT Rayudu,Harbhajan Singh,MG Johnson,SL Malinga,DS Kulkarni,PP Ojha",Mumbai Indians,129,Sunrisers Hyderabad,130
598038,2013,42,Subrata Roy Sahara Stadium,Chennai Super Kings,Runs,MS Dhoni,"RV Uthappa,AJ Finch,TL Suman,Yuvraj Singh,SPD Smith,LJ Wright,AM Nayar,KW Richardson,B Kumar,R Sharma,AB Dinda","MEK Hussey,WP Saha,SK Raina,S Badrinath,MS Dhoni,RA Jadeja,DJ Bravo,JA Morkel,CH Morris,R Ashwin,MM Sharma",Chennai Super Kings,164,Pune Warriors,127
598037,2013,41,Wankhede Stadium,Mumbai Indians,Runs,RG Sharma,"DR Smith,SR Tendulkar,KD Karthik,RG Sharma,KA Pollard,AT Rayudu,Harbhajan Singh,MG Johnson,SL Malinga,DS Kulkarni,PP Ojha","Mandeep Singh,SE Marsh,M Vohra,DJ Hussey,DA Miller,Gurkeerat Singh,Azhar Mahmood,MS Gony,PP Chawla,P Kumar,P Awana",Mumbai Indians,174,Kings XI Punjab,170
598036,2013,40,Sawai Mansingh Stadium,Rajasthan Royals,Wickets,SV Samson,"R Dravid,AM Rahane,SV Samson,SR Watson,BJ Hodge,STR Binny,OA Shah,JP Faulkner,A Chandila,SK Trivedi,S Sreesanth","A Mukund,CH Gayle,V Kohli,AB de Villiers,MC Henriques,SS Tiwary,R Rampaul,R Vinay Kumar,M Kartik,RP Singh,JD Unadkat",Royal Challengers Bangalore,171,Rajasthan Royals,173
598034,2013,38,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Runs,MEK Hussey,"WP Saha,MEK Hussey,SK Raina,MS Dhoni,RA Jadeja,S Badrinath,DJ Bravo,CH Morris,R Ashwin,DP Nannes,MM Sharma","MS Bisla,G Gambhir,BB McCullum,JH Kallis,EJG Morgan,YK Pathan,DB Das,R Bhatia,SP Narine,Mohammed Shami,L Balaji",Chennai Super Kings,200,Kolkata Knight Riders,186
598035,2013,39,Shaheed Veer Narayan Singh International Stadium,Delhi Capitals,Runs,DA Warner,"DPMD Jayawardene,V Sehwag,UBT Chand,DA Warner,BJ Rohrer,KM Jadhav,IK Pathan,S Nadeem,M Morkel,A Nehra,UT Yadav","RV Uthappa,AJ Finch,Yuvraj Singh,LJ Wright,SPD Smith,M Manhas,AM Nayar,B Kumar,AB Dinda,R Sharma,KW Richardson",Delhi Daredevils,164,Pune Warriors,149
598033,2013,37,Wankhede Stadium,Mumbai Indians,Runs,DR Smith,"DR Smith,SR Tendulkar,KD Karthik,RG Sharma,KA Pollard,AT Rayudu,Harbhajan Singh,MG Johnson,SL Malinga,DS Kulkarni,PP Ojha","CH Gayle,TM Dilshan,V Kohli,AB de Villiers,SS Tiwary,KB Arun Karthik,J Syed Mohammad,R Rampaul,R Vinay Kumar,RP Singh,JD Unadkat",Mumbai Indians,194,Royal Challengers Bangalore,136
598032,2013,36,Sawai Mansingh Stadium,Rajasthan Royals,Wickets,JP Faulkner,"R Dravid,AM Rahane,SR Watson,STR Binny,BJ Hodge,DH Yagnik,Sachin Baby,JP Faulkner,KK Cooper,A Chandila,SK Trivedi","PA Reddy,S Dhawan,KC Sangakkara,GH Vihari,KV Sharma,NLTC Perera,DJG Sammy,A Mishra,A Ashish Reddy,DW Steyn,I Sharma",Sunrisers Hyderabad,144,Rajasthan Royals,146
598031,2013,35,Eden Gardens,Kolkata Knight Riders,Wickets,JH Kallis,"MS Bisla,G Gambhir,YK Pathan,JH Kallis,EJG Morgan,SMSM Senanayake,DB Das,R Bhatia,SP Narine,S Ladda,L Balaji","AC Gilchrist,Mandeep Singh,M Vohra,DJ Hussey,DA Miller,Gurkeerat Singh,Azhar Mahmood,PP Chawla,P Kumar,Harmeet Singh,BA Bhatt",Kings XI Punjab,149,Kolkata Knight Riders,150
